"ID" "Species" "Size" "Synonyms" "Symbols" "Descriptions"
"3683" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3524; b3525" "yhjG; yhjH" "Inner membrane protein, AsmA family; cyclic-di-GMP phosphodiesterase, FlhDC-regulated"
"3684" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b3529; b3530; b3531; b3532; b3533" "yhjK; bcsC; bcsZ; bcsB; bcsA" "predicted diguanylate cyclase; cellulose synthase subunit; endo-1,4-D-glucanase; regulator of cellulose synthase, cyclic di-GMP binding; cellulose synthase, catalytic subunit"
"3685" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b3536; b3537; b3538" "bcsE; bcsF; bcsG" "cellulose production protein; predicted protein; inner membrane protein, predicted endoglucanase, DUF3260 family"
"3686" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b3540; b3541; b3542; b3543" "dppF; dppD; dppC; dppB" "dipeptide transporter; dipeptide/heme transporter; dipeptide/heme transporter; dipeptide/heme transporter"
"3687" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3549; b3550" "tag; yiaC" "3-methyl-adenine DNA glycosylase I, constitutive; predicted acyltransferase with acyl-CoA N-acyltransferase domain"
"3688" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3552; b3553" "yiaD; ghrB" "multicopy suppressor of bamB; outer membrane lipoprotein; glyoxylate/hydroxypyruvate reductase B"
"3689" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3557; b3558" "insJ; insK" "IS150 transposase A; IS150 transposase B"
"3690" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3559; b3560" "glyS; glyQ" "glycine tRNA synthetase, beta subunit; glycine tRNA synthetase, alpha subunit"
"3691" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b3566; b3567; b3568" "xylF; xylG; xylH" "D-xylose transporter subunit; fused D-xylose transporter subunits of ABC superfamily: ATP-binding components; D-xylose ABC transporter permease subunit"
"3692" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3573; b3574" "ysaA; yiaJ" "predicted hydrogenase, 4Fe-4S ferredoxin-type component; DNA-binding transcriptional repressor of yiaK-S operon"
"3693" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3575; b3576" "yiaK; yiaL" "2,3-diketo-L-gulonate reductase, NADH-dependent; conserved protein"
"3694" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 7 "b3577; b3578; b3579; b3580; b3581; b3582; b3583" "yiaM; yiaN; yiaO; lyxK; yiaQ; yiaR; yiaS" "L-dehydroascorbate transporter, TRAP permease small subunit for TRAP (TRipartite ATP-independent Periplasmic) family transporter YiaMNO; L-dehydroascorbate transporter, TRAP permease large subunit for TRAP (TRipartite ATP-independent Periplasmic) family transporter YiaMNO; L-dehydroascorbate transporter, periplasmic binding protein for TRAP (TRipartite ATP-independent Periplasmic) family transporter YiaMNO; L-xylulose kinase; 3-keto-L-gulonate 6-phosphate decarboxylase; predicted L-xylulose 5-phosphate 3-epimerase; L-ribulose-5-phosphate 4-epimerase"
"3695" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3586; b3587" "yiaV; yiaW" "membrane fusion protein (MFP) component of efflux pump, signal anchor; inner membrane protein, DUF3302 family"
"3696" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3590; b3591" "selB; selA" "selenocysteinyl-tRNA-specific translation factor; selenocysteine synthase"
"3697" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3593; b3594" "rhsA; yibA" "rhsA element core protein RshA; Predicted lyase containing HEAT-repeat"
"3698" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3597; b3598" "yibH; yibI" "predicted protein; inner membrane protein, DUF3302 family"
"3699" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3600; b3601" "mtlD; mtlR" "mannitol-1-phosphate dehydrogenase, NAD-dependent; mannitol operon repressor"
"3700" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b3603; b3604; b3605" "lldP; lldR; lldD" "L-lactate permease; dual role activator/repressor for lldPRD operon; L-lactate dehydrogenase, FMN-linked"
"3701" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b3607; b3608; b3609; b3610" "cysE; gpsA; secB; grxC" "serine acetyltransferase; glycerol-3-phosphate dehydrogenase (NAD+); protein export chaperone; glutaredoxin 3"
"3702" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b3612; b3613; b3614" "gpmM; envC; yibQ" "phosphoglycero mutase III, cofactor-independent; activator of AmiB,C murein hydrolases, septal ring factor; predicted polysaccharide deacetylase"
"3703" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3616; b3617" "tdh; kbl" "threonine 3-dehydrogenase, NAD(P)-binding; glycine C-acetyltransferase"
"3704" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b3619; b3620; b3621; b3622" "rfaD; rfaF; rfaC; rfaL" "ADP-L-glycero-D-mannoheptose-6-epimerase, NAD(P)-binding; ADP-heptose:LPS heptosyltransferase II; ADP-heptose:LPS heptosyl transferase I; O-antigen ligase"
"3705" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b3623; b3624; b3625; b3626" "waaU; rfaZ; rfaY; rfaJ" "lipopolysaccharide core biosynthesis; lipopolysaccharide core biosynthesis protein; lipopolysaccharide core biosynthesis protein; UDP-D-glucose:(galactosyl)lipopolysaccharide glucosyltransferase"
"3706" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 6 "b3627; b3628; b3629; b3630; b3631; b3632" "rfaI; rfaB; rfaS; rfaP; rfaG; rfaQ" "UDP-D-galactose:(glucosyl)lipopolysaccharide-alpha-1,3-D-galactosyltransferase; UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase; lipopolysaccharide core biosynthesis protein; kinase that phosphorylates core heptose of lipopolysaccharide; glucosyltransferase I; lipopolysaccharide core biosynthesis protein"
"3707" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3633; b3634" "waaA; coaD" "3-deoxy-D-manno-octulosonic-acid transferase (KDO transferase); pantetheine-phosphate adenylyltransferase"
"3708" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3636; b3637" "rpmG; rpmB" "50S ribosomal subunit protein L33; 50S ribosomal subunit protein L28"
"3709" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3639; b3640" "dfp; dut" "fused 4'-phosphopantothenoylcysteine decarboxylase/phosphopantothenoylcysteine synthetase, FMN-binding; deoxyuridinetriphosphatase"
"3710" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b3648; b3649; b3650; b3651; b3652" "gmk; rpoZ; spoT; trmH; recG" "guanylate kinase; RNA polymerase, omega subunit; bifunctional (p)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase; tRNA mG18-2'-O-methyltransferase, SAM-dependen; ATP-dependent DNA helicase"
"3711" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3656; b3657" "yicI; yicJ" "predicted alpha-glucosidase; predicted transporter"
"3712" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3663; b3664" "yicN; yicO" "conserved protein; Probable adenine permease"
"3713" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b3667; b3668; b3669" "uhpC; uhpB; uhpA" "membrane protein regulates uhpT expression; sensory histidine kinase in two-component regulatory sytem with UhpA; DNA-binding response regulator in two-component regulatory system wtih UhpB"
"3714" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3670; b3671" "ilvN; ilvB" "acetolactate synthase I, small subunit; acetolactate synthase I, large subunit"
"3715" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b3674; b3675; b3676" "yidF; yidG; yidH" "predicted DNA-binding transcriptional regulator; inner membrane protein; inner membrane protein, DUF202 family"
"3716" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3678; b3679" "yidJ; yidK" "predicted sulfatase/phosphatase; predicted transporter"
"3717" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3686; b3687" "ibpB; ibpA" "heat shock chaperone; heat shock chaperone"
"3718" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b4478; b4477; b3693; b4479" "dgoD; dgoA; dgoK; dgoR" "galactonate dehydratase; 2-oxo-3-deoxygalactonate 6-phosphate aldolase; 2-oxo-3-deoxygalactonate kinase; predicted DNA-binding transcriptional regulator"
"3719" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b3699; b3700; b3701; b3702" "gyrB; recF; dnaN; dnaA" "DNA gyrase, subunit B; gap repair protein; DNA polymerase III, beta subunit; chromosomal replication initiator protein DnaA, DNA-binding transcriptional dual regulator"
"3720" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b3703; b3704; b4557; b3705" "rpmH; rnpA; yidD; yidC" "50S ribosomal subunit protein L34; protein C5 component of RNase P; conserved protein, UPF0161 family; membrane protein insertase"
"3721" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3710; b3711" "mdtL; yidZ" "multidrug efflux system protein; predicted DNA-binding transcriptional regulator"
"3722" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3712; b3713" "yieE; yieF" "predicted phosphopantetheinyl transferase, COG2091 family; chromate reductase, Class I, flavoprotein"
"3723" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b3715; b3716; b3717" "yieH; cbrB; cbrC" "phosphoenolpyruvate and 6-phosphogluconate phosphatase; inner membrane protein, creBC regulon; conserved protein, UPF0167 family"
"3724" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b3718; b3719; b3720; b3721; b3722" "yieK; yieL; bglH; bglB; bglF" "predicted 6-phosphogluconolactonase; predicted xylanase; carbohydrate-specific outer membrane porin, cryptic; cryptic phospho-beta-glucosidase B; fused beta-glucoside-specific PTS enzymes: IIA component/IIB component/IIC component"
"3725" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3724; b3725" "phoU; pstB" "negative regulator of PhoR/PhoB two-component regulator; phosphate transporter subunit"
"3726" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b3726; b3727; b3728" "pstA; pstC; pstS" "phosphate transporter subunit; phosphate transporter subunit; periplasmic phosphate binding protein, high-affinity"
"3727" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 6 "b3731; b3732; b3733; b3734; b3735; b3736" "atpC; atpD; atpG; atpA; atpH; atpF" "F1 sector of membrane-bound ATP synthase, epsilon subunit; F1 sector of membrane-bound ATP synthase, beta subunit; F1 sector of membrane-bound ATP synthase, gamma subunit; F1 sector of membrane-bound ATP synthase, alpha subunit; F1 sector of membrane-bound ATP synthase, delta subunit; F0 sector of membrane-bound ATP synthase, subunit b"
"3728" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b3737; b3738; b3739" "atpE; atpB; atpI" "F0 sector of membrane-bound ATP synthase, subunit c; F0 sector of membrane-bound ATP synthase, subunit a; ATP synthase, membrane-bound accessory factor"
"3729" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3740; b3741" "rsmG; mnmG" "16S rRNA m(7)G527 methyltransferase, SAM-dependent; glucose-inhibited cell-division protein; 5-methylaminomethyl-2-thiouridine modification at tRNA U34"
"3730" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3745; b3746" "viaA; ravA" "predicted von Willibrand factor containing protein; fused predicted transcriptional regulator: sigma54 activator protein/conserved protein"
"3731" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b3748; b3749; b3750; b3751" "rbsD; rbsA; rbsC; rbsB" "predicted cytoplasmic sugar-binding protein; fused D-ribose transporter subunits of ABC superfamily: ATP-binding components; D-ribose transporter subunit; D-ribose transporter subunit"
"3732" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3752; b3753" "rbsK; rbsR" "ribokinase; DNA-binding transcriptional repressor of ribose metabolism"
"3733" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3754; b3755" "hsrA; yieP" "predicted multidrug or homocysteine efflux system; predicted transcriptional regulator"
"3734" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3766; b4669" "ilvL; ilvX" "ilvG operon leader peptide; expressed protein"
"3735" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b3769; b3770; b3771; b3772" "ilvM; ilvE; ilvD; ilvA" "acetolactate synthase II, small subunit; branched-chain amino-acid aminotransferase; dihydroxyacid dehydratase; threonine deaminase"
"3736" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 12 "b3784; b3785; b3786; b3787; b3788; b3789; b3790; b3791; b3792; b4481; b3793; b3794" "rfe; wzzE; rffE; rffD; rffG; rffH; rffC; rffA; wzxE; rffT; wzyE; rffM" "UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase; Entobacterial Common Antigen (ECA) polysaccharide chain length modulation protein; UDP-N-acetyl glucosamine-2-epimerase; UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase; dTDP-glucose 4,6-dehydratase; glucose-1-phosphate thymidylyltransferase; TDP-fucosamine acetyltransferase; TDP-4-oxo-6-deoxy-D-glucose transaminase; O-antigen translocase; TDP-Fuc4NAc:lipidIIFuc4NAc transferase; predicted Wzy protein involved in ECA polysaccharide chain elongation; UDP-N-acetyl-D-mannosaminuronic acid transferase"
"3737" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b3802; b3803; b3804; b3805" "hemY; hemX; hemD; hemC" "predicted protoheme IX synthesis protein; predicted uroporphyrinogen III methyltransferase; uroporphyrinogen III synthase; hydroxymethylbilane synthase"
"3738" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b4558; b3809; b3810; b3811; b3812" "yifL; dapF; yigA; xerC; yigB" "predicted lipoprotein; diaminopimelate epimerase; conserved protein, DUF484 family; site-specific tyrosine recombinase; FMN phosphatase"
"3739" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3819; b3820" "rarD; yigI" "predicted chloramphenical resistance permease; conserved protein, 4HBT family of thioesterases"
"3740" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3822; b3823" "recQ; rhtC" "ATP-dependent DNA helicase; threonine efflux pump"
"3741" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b3825; b3826; b3827" "pldB; yigL; yigM" "lysophospholipase L2; predicted hydrolase; predicted inner membrane protein"
"3742" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b3833; b3834; b3835" "ubiE; yigP; ubiB" "bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase/ S-adenosylmethionine:2-DMK methyltransferase; conserved protein, SCP2 family; 2-octaprenylphenol hydroxylase"
"3743" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b3836; b3838; b3839; b4483" "tatA; tatB; tatC; tatD" "TatABCE protein translocation system subunit; TatABCE protein translocation system subunit; TatABCE protein translocation system subunit; quality control of Tat-exported FeS proteins; Mg-dependent cytoplasmic DNase"
"3744" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3843; b3844" "ubiD; fre" "3-octaprenyl-4-hydroxybenzoate decarboxylase; NAD(P)H-flavin reductase"
"3745" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3845; b3846" "fadA; fadB" "3-ketoacyl-CoA thiolase (thiolase I); fused 3-hydroxybutyryl-CoA epimerase/delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase/enoyl-CoA hydratase/3-hydroxyacyl-CoA dehydrogenase"
"3746" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b3847; b3848; b3849; b3850" "pepQ; yigZ; trkH; hemG" "proline dipeptidase; conserved protein, UPF0029 family; potassium transporter; protoporphyrin oxidase, flavoprotein"
"3747" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3856; b3857" "mobB; mobA" "molybdopterin-guanine dinucleotide biosynthesis protein B; molybdopterin-guanine dinucleotide synthase"
"3748" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b3858; b3859; b3860" "yihD; rdoA; dsbA" "DUF1040 protein YihD; Thr/Ser kinase implicated in Cpx stress response; periplasmic protein disulfide isomerase I"
"3749" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3868; b3869" "glnG; glnL" "fused DNA-binding response regulator in two-component regulatory system with GlnL: response regulator/sigma54 interaction protein; sensory histidine kinase in two-component regulatory system with GlnG"
"3750" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3872; b3873" "yihL; yihM" "predicted DNA-binding transcriptional regulator; predicted sugar phosphate isomerase"
"3751" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b3875; b3876; b3877; b3878" "ompL; yihO; yihP; yihQ" "outer membrane porin L; predicted transporter; predicted transporter; alpha-glucosidase"
"3752" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b3880; b3881; b3882" "yihS; yihT; yihU" "aldose-ketose isomerase; D-mannose isomerase; predicted aldolase; gamma-hydroxybutyrate dehydrogenase, NADH-dependent"
"3753" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b3885; b3886; b3887; b3888" "yihX; yihY; dtd; yiiD" "alpha-D-Glucose-1-P phosphatase, anomer-specific; predicted inner membrane protein; D-tyr-tRNA(Tyr) deacylase; predicted acetyltransferase"
"3754" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b3891; b3892; b3893; b3894" "fdhE; fdoI; fdoH; fdoG" "formate dehydrogenase formation protein; formate dehydrogenase-O, cytochrome b556 subunit; formate dehydrogenase-O, Fe-S subunit; formate dehydrogenase-O, large subunit"
"3755" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b3897; b3898; b3899; b3900" "frvR; frvX; frvB; frvA" "putative frv operon regulator; contains a PTS EIIA domain; predicted peptidase; fused predicted PTS enzymes: IIB component/IIC component; predicted enzyme IIA component of PTS"
"3756" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3901; b3902" "rhaM; rhaD" "L-rhamnose mutarotase; rhamnulose-1-phosphate aldolase"
"3757" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3903; b3904" "rhaA; rhaB" "L-rhamnose isomerase; rhamnulokinase"
"3758" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3905; b3906" "rhaS; rhaR" "DNA-binding transcriptional activator for rhaBAD and rhaT, L-rhamnose-binding; DNA-binding transcriptional activator for rhaSR, L-rhamnose-binding"
"3759" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3911; b3912" "cpxA; cpxR" "sensory histidine kinase in two-component regulatory system with CpxR; DNA-binding response regulator in two-component regulatory system with CpxA"
"3760" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3922; b3923" "yiiS; uspD" "conserved protein, UPF0381 family; stress-induced protein"
"3761" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3926; b3927" "glpK; glpF" "glycerol kinase; glycerol facilitator"
"3762" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b3930; b3931; b3932; b3933" "menA; hslU; hslV; ftsN" "1,4-dihydroxy-2-naphthoate octaprenyltransferase; molecular chaperone and ATPase component of HslUV protease; peptidase component of the HslUV protease; essential cell division protein"
"3763" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3939; b3940" "metB; metL" "cystathionine gamma-synthase, PLP-dependent; fused aspartokinase II/homoserine dehydrogenase II"
"3764" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3942; b3943" "katG; yijE" "catalase-peroxidase HPI, heme b-containing; inner membrane protein, predicted permease"
"3765" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b3945; b3946; b3947" "gldA; fsaB; ptsA" "glycerol dehydrogenase, NAD; fructose-6-phosphate aldolase 2; fused predicted PTS enzymes: Hpr component/enzyme I component/enzyme IIA component"
"3766" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 5 "b3949; b3950; b3951; b3952; b3953" "frwC; frwB; pflD; pflC; frwD" "predicted enzyme IIC component of PTS; predicted enzyme IIB component of PTS; predicted formate acetyltransferase 2 (pyruvate formate lyase II); pyruvate formate lyase II activase; predicted enzyme IIB component of PTS"
"3767" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b3958; b3959; b3960" "argC; argB; argH" "N-acetyl-gamma-glutamylphosphate reductase, NAD(P)-binding; acetylglutamate kinase; argininosuccinate lyase"
"3768" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3963; b3964" "fabR; yijD" "DNA-binding transcriptional repressor; inner membrane protein, DUF1422 family"
"3769" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3966; b3967" "btuB; murI" "vitamin B12/cobalamin outer membrane transporter; glutamate racemase"
"3770" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3972; b3973" "murB; birA" "UDP-N-acetylenolpyruvoylglucosamine reductase, FAD-binding; bifunctional biotin-[acetylCoA carboxylase] holoenzyme synthetase/ DNA-binding transcriptional repressor, bio-5'-AMP-binding"
"3771" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3981; b3982" "secE; nusG" "preprotein translocase membrane subunit; transcription termination factor"
"3772" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3983; b3984" "rplK; rplA" "50S ribosomal subunit protein L11; 50S ribosomal subunit protein L1"
"3773" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b3987; b3988" "rpoB; rpoC" "RNA polymerase, beta subunit; RNA polymerase, beta prime subunit"
"3774" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 6 "b3990; b3991; b4407; b3992; b3993; b3994" "thiH; thiG; thiS; thiF; thiE; thiC" "tyrosine lyase, involved in thiamin-thiazole moiety synthesis; thiamin biosynthesis ThiGH complex subunit; immediate sulfur donor in thiazole formation; adenylyltransferase, modifies ThiS C-terminus; thiamin phosphate synthase (thiamin phosphate pyrophosphorylase); thiamin (pyrimidine moiety) biosynthesis protein"
"3775" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b3996; b3997; b3998; b3999" "nudC; hemE; nfi; yjaG" "NADH pyrophosphatase; uroporphyrinogen decarboxylase; endonuclease V; conserved protein"
"3776" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b4000; b4001" "hupA; yjaH" "HU, DNA-binding transcriptional regulator, alpha subunit; conserved protein"
"3777" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b4003; b4004" "zraS; zraR" "sensory histidine kinase in two-component regulatory system with ZraR; fused DNA-binding response regulator in two-component regulatory system with ZraS: response regulator/sigma54 interaction protein"
"3778" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b4005; b4006" "purD; purH" "phosphoribosylglycinamide synthetase phosphoribosylamine-glycine ligase; fused IMP cyclohydrolase/phosphoribosylaminoimidazolecarboxamide formyltransferase"
"3779" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b4014; b4015" "aceB; aceA" "malate synthase A; isocitrate lyase"
"3780" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b4026; b4027; b4028; b4029" "yjbE; yjbF; yjbG; yjbH" "predicted protein; predicted lipoprotein; conserved protein; predicted porin"
"3781" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b4032; b4033" "malG; malF" "maltose transporter subunit; maltose transporter subunit"
"3782" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b4035; b4036" "malK; lamB" "fused maltose transport subunit, ATP-binding component of ABC superfamily/regulatory protein; maltose outer membrane porin (maltoporin)"
"3783" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b4039; b4040" "ubiC; ubiA" "chorismate--pyruvate lyase; p-hydroxybenzoate octaprenyltransferase"
"3784" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b4043; b4044" "lexA; dinF" "DNA-binding transcriptional repressor of SOS regulon; DNA-damage-inducible SOS response protein"
"3785" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b4047; b4048" "yjbL; yjbM" "predicted protein; predicted protein"
"3786" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b4052; b4053" "dnaB; alr" "replicative DNA helicase; alanine racemase 1, PLP-binding, biosynthetic"
"3787" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b4056; b4057" "yjbQ; yjbR" "thiamin phosphate synthase; conserved protein"
"3788" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b4067; b4068" "actP; yjcH" "acetate transporter; inner membrane protein, DUF485 family"
"3789" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 7 "b4070; b4071; b4072; b4073; b4074; b4075; b4076" "nrfA; nrfB; nrfC; nrfD; nrfE; nrfF; nrfG" "nitrite reductase, formate-dependent, cytochrome; nitrite reductase, formate-dependent, penta-heme cytochrome c; formate-dependent nitrite reductase, 4Fe4S subunit; formate-dependent nitrite reductase, membrane subunit; heme lyase (NrfEFG) for insertion of heme into c552, subunit NrfE; heme lyase (NrfEFG) for insertion of heme into c552, subunit NrfF; heme lyase (NrfEFG) for insertion of heme into c552, subunit NrfG"
"3790" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b4080; b4081; b4082" "mdtP; mdtO; mdtN" "outer membrane factor of efflux pump; membrane translocase (MDR) of MdtNOP efflux pump, PET family; membrane fusion protein of efflux pump"
"3791" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 4 "b4084; b4085; b4086; b4087" "alsK; alsE; alsC; alsA" "D-allose kinase; allulose-6-phosphate 3-epimerase; D-allose transporter subunit; fused D-allose transporter subunits of ABC superfamily: ATP-binding components"
"3792" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b4088; b4089" "alsB; rpiR" "D-allose transporter subunit; DNA-binding transcriptional repressor"
"3793" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 11 "b4092; b4093; b4094; b4095; b4096; b4097; b4098; b4099; b4100; b4101; b4102" "phnP; phnO; phnN; phnM; phnL; phnK; phnJ; phnI; phnH; phnG; phnF" "carbon-phosphorus lyase complex accessory protein, phosphodiesterase; predicted acyltransferase with acyl-CoA N-acyltransferase domain; ribose 1,5-bisphosphokinase; carbon-phosphorus lyase complex subunit; carbon-phosphorus lyase complex subunit; carbon-phosphorus lyase complex subunit; carbon-phosphorus lyase complex subunit; carbon-phosphorus lyase complex subunit; carbon-phosphorus lyase complex subunit; carbon-phosphorus lyase complex subunit; predicted DNA-binding transcriptional regulator of phosphonate uptake and biodegradation"
"3794" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b4105; b4106" "phnD; phnC" "phosphonate/organophosphate ester transporter subunit; phosphonate/organophosphate ester transporter subunit"
"3795" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 2 "b4109; b4110" "yjdA; yjcZ" "mutational suppressor of yhjH motility mutation, function unknown; related to Dynamin GTPase; mutational suppressor of yhjH motility mutation, function unknown"
"3796" "Escherichia coli str. K-12 substr. MG1655 : NC_000913" 3 "b4112; b4113; b4114" "basS; basR; eptA" "sensory histidine kinase in two-component regulatory system with BasR; DNA-binding response regulator in two-component regulatory system with BasS; predicted metal dependent hydrolase"
